ml_id,imdb_id,ml_title,imdb_title,ml_year,imdb_year,ml_genres,ml_genres_augment,imdb_genres,imdb_type,director,writer,actor,actress,cinematographer,composer,producer,editor,production_designer,archive_footage,archive_sound
37,tt0112286,Across the Sea of Time (1995),Across the Sea of Time,1995,1995,['Documentary'],"['Documentary', 'IMAX']","['Adventure', 'Drama', 'Family']",movie,['nm0522844'],['nm0312442'],"['nm0722135', 'nm0568159', 'nm0388818', 'nm0825692']",,['nm0457827'],['nm0000290'],,['nm0481636'],['nm0063599'],,
38,tt0113442,It Takes Two (1995),It Takes Two,1995,1995,['Comedy'],"['Children', 'Comedy']","['Comedy', 'Family', 'Romance']",movie,['nm0855035'],['nm0204456'],['nm0000430'],"['nm0000263', 'nm0001581', 'nm0001580']",['nm0958666'],['nm0285232'],"['nm0189979', 'nm0650561']",,,,
39,tt0112697,Clueless (1995),Clueless,1995,1995,"['Comedy', 'Romance']","['Comedy', 'Romance']","['Comedy', 'Romance']",movie,['nm0002132'],,['nm0748620'],"['nm0000224', 'nm0001107', 'nm0005261']",['nm0691084'],['nm0457598'],"['nm0492994', 'nm0748784']",['nm0157096'],,,
40,tt0112749,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995,1995,['Drama'],['Drama'],"['Drama', 'Thriller']",movie,['nm0740213'],"['nm0367838', 'nm0665704']","['nm0001321', 'nm0000469', 'nm0475100', 'nm0001165']",,,['nm0000290'],"['nm0802081', 'nm0869935']",,,,
41,tt0114279,Richard III (1995),Richard III,1995,1995,"['Drama', 'War']","['Drama', 'War']","['Drama', 'Sci-Fi', 'War']",movie,['nm0518644'],"['nm0264236', 'nm0000636']","['nm0005212', 'nm0100815', 'nm0223266']",['nm0000906'],,['nm0002303'],"['nm0063127', 'nm0664179']",,,,
42,tt0112819,Dead Presidents (1995),Dead Presidents,1995,1995,"['Action', 'Crime', 'Drama']","['Action', 'Crime', 'Drama']","['Action', 'Crime', 'Drama']",movie,"['nm0400436', 'nm0400441']","['nm0114285', 'nm1088323']","['nm0005478', 'nm0202966', 'nm0000676', 'nm0135585']",,,['nm0000384'],['nm1428229'],,,,
43,tt0114272,Restoration (1995),Restoration,1995,1995,['Drama'],['Drama'],"['Biography', 'Drama', 'History']",movie,['nm0001355'],"['nm0871857', 'nm0910361']","['nm0000375', 'nm0000554', 'nm0000667']",['nm0908116'],,,"['nm0665466', 'nm0085502', 'nm0111225']",,,,
44,tt0113855,Mortal Kombat (1995),Mortal Kombat,1995,1995,"['Action', 'Adventure']","['Action', 'Adventure', 'Fantasy']","['Action', 'Adventure', 'Fantasy']",movie,['nm0027271'],"['nm0095460', 'nm0864880', 'nm0238256']","['nm0000483', 'nm0795225', 'nm0000798', 'nm0846480']",,,['nm0003392'],['nm0440415'],,,,
45,tt0114681,To Die For (1995),To Die For,1995,1995,"['Comedy', 'Drama']","['Comedy', 'Drama', 'Thriller']","['Comedy', 'Crime', 'Drama']",movie,['nm0001814'],"['nm0562767', 'nm0377750']","['nm0000369', 'nm0001618', 'nm0000729']",['nm0000173'],['nm0004090'],['nm0000384'],['nm0957205'],,,,
46,tt0113347,How to Make an American Quilt (1995),How to Make an American Quilt,1995,1995,"['Drama', 'Romance']","['Drama', 'Romance']","['Comedy', 'Drama', 'Romance']",movie,['nm0602104'],"['nm0653307', 'nm0026862']",,"['nm0000213', 'nm0000995', 'nm0000843', 'nm0185644']",,['nm0002353'],"['nm0683579', 'nm0762590']",,,,
47,tt0114369,Seven (Se7en) (1995),Se7en,1995,1995,"['Crime', 'Thriller']","['Mystery', 'Thriller']","['Crime', 'Drama', 'Mystery']",movie,['nm0000399'],,"['nm0000151', 'nm0000093', 'nm0000228', 'nm0001825']",,['nm0451787'],['nm0006290'],"['nm0138287', 'nm0465745']",['nm0290358'],,,
48,tt0114148,Pocahontas (1995),Pocahontas,1995,1995,"['Animation', ""Children's"", 'Musical', 'Romance']","['Animation', 'Children', 'Drama', 'Musical', 'Romance']","['Adventure', 'Animation', 'Drama']",movie,"['nm0300265', 'nm0325196']","['nm0443855', 'nm0082772', 'nm0335666', 'nm0493857']","['nm0000154', 'nm0000288', 'nm0048589']",['nm0001373'],,,,,,,
49,tt0114916,When Night Is Falling (1995),When Night Is Falling,1995,1995,"['Drama', 'Romance']","['Drama', 'Romance']","['Drama', 'Romance']",movie,['nm0005390'],,"['nm0001089', 'nm0288944']","['nm0124481', 'nm0006692']",['nm0462288'],['nm0053427'],['nm0871009'],['nm0794156'],['nm0232364'],,
50,tt0114814,"Usual Suspects, The (1995)",The Usual Suspects,1995,1995,"['Crime', 'Thriller']","['Crime', 'Mystery', 'Thriller']","['Crime', 'Mystery', 'Thriller']",movie,['nm0001741'],['nm0003160'],"['nm0000228', 'nm0000321', 'nm0001590', 'nm0000286']",,['nm0005875'],['nm0653211'],['nm0568120'],,['nm0191896'],,
51,tt0121912,Guardian Angel (1994),Yue gui zhi lang,1994,1994,"['Action', 'Drama', 'Thriller']",,['Action'],movie,['nm0438071'],,"['nm0202515', 'nm0202516', 'nm0215856', 'nm0380521']",,,,['nm0939302'],,,"['nm2657300', 'nm0156891', 'nm4184531', 'nm1291631']",
52,tt0113819,Mighty Aphrodite (1995),Mighty Aphrodite,1995,1995,['Comedy'],"['Comedy', 'Drama', 'Romance']","['Comedy', 'Fantasy', 'Romance']",movie,,,['nm0000095'],"['nm0000227', 'nm0086322', 'nm0147503']",['nm0005688'],,['nm0339086'],['nm0607673'],['nm0520288'],,
53,tt0110299,Lamerica (1994),Lamerica,1994,1994,['Drama'],"['Adventure', 'Drama']",['Drama'],movie,['nm0002167'],"['nm0691794', 'nm0785258']","['nm0516272', 'nm0686375', 'nm0587549', 'nm0224076']",,,['nm0006228'],"['nm0147601', 'nm0147603']",,,,
54,tt0112499,"Big Green, The (1995)",The Big Green,1995,1995,"[""Children's"", 'Comedy']","['Children', 'Comedy']","['Comedy', 'Family', 'Sport']",movie,['nm0805965'],,"['nm0000430', 'nm0761587', 'nm0856012']",['nm0001882'],['nm0005659'],['nm0006055'],['nm0083696'],['nm0511219'],['nm0757136'],,
55,tt0113158,Georgia (1995),Georgia,1995,1995,['Drama'],['Drama'],"['Drama', 'Music']",movie,['nm0343260'],['nm0193009'],"['nm0505971', 'nm0001611']","['nm0000492', 'nm0001858']",['nm0452654'],,,['nm0459703'],['nm0169555'],,
56,tt0113541,Kids of the Round Table (1995),Kids of the Round Table,1995,1995,"['Adventure', ""Children's"", 'Fantasy']","['Adventure', 'Children', 'Comedy', 'Fantasy']","['Adventure', 'Comedy', 'Family']",movie,['nm0864016'],['nm0792412'],"['nm0605601', 'nm0647570', 'nm0097148']",['nm0145299'],"['nm0224290', 'nm0041443']",['nm0002934'],['nm0332161'],,,,
57,tt0113321,Home for the Holidays (1995),Home for the Holidays,1995,1995,['Drama'],['Drama'],"['Comedy', 'Drama', 'Romance']",movie,['nm0000149'],"['nm0705331', 'nm0725379']","['nm0000375', 'nm0001164']","['nm0000456', 'nm0000843']",['nm0005759'],['nm0006142'],['nm0707475'],,,,
58,tt0110877,"Postino, Il (The Postman) (1994)",Il Postino,1994,1994,"['Drama', 'Romance']","['Comedy', 'Drama', 'Romance']","['Biography', 'Comedy', 'Drama']",movie,['nm0705535'],"['nm0805073', 'nm0769249', 'nm0769250', 'nm0667657']","['nm0873385', 'nm0634159', 'nm0769237']",['nm0002029'],,,['nm0147601'],,,,
59,tt0112714,"Confessional, The (Le Confessionnal) (1995)",The Confessional,1995,1995,"['Drama', 'Mystery']","['Drama', 'Mystery']","['Drama', 'Mystery', 'Thriller']",movie,['nm0503215'],,"['nm0089937', 'nm0333079', 'nm0589603']",['nm0000218'],['nm0234500'],['nm0701300'],"['nm0136260', 'nm0701298', 'nm0730629']",,,,
60,tt0113419,"Indian in the Cupboard, The (1995)",The Indian in the Cupboard,1995,1995,"['Adventure', ""Children's"", 'Fantasy']","['Adventure', 'Children', 'Fantasy']","['Drama', 'Family', 'Fantasy']",movie,['nm0000568'],"['nm0052209', 'nm0558953']","['nm0769136', 'nm0514342', 'nm0420955']",['nm0001080'],,,"['nm0823661', 'nm0005086', 'nm0550881']",,,,
61,tt0116260,Eye for an Eye (1996),Eye for an Eye,1996,1996,"['Drama', 'Thriller']","['Drama', 'Thriller']","['Crime', 'Drama', 'Thriller']",movie,['nm0772259'],"['nm0392788', 'nm0798646', 'nm0415425']","['nm0000662', 'nm0000438']","['nm0000398', 'nm0122466']",,['nm0006133'],['nm0506548'],,,,
62,tt0113862,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995,1995,['Drama'],['Drama'],"['Drama', 'Music']",movie,['nm0378893'],['nm0242059'],"['nm0000377', 'nm0858988']","['nm0000444', 'nm0001156']",,['nm0004383'],"['nm0181202', 'nm0276059', 'nm0634445']",,,,
63,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,1996,['Comedy'],"['Comedy', 'Crime']","['Comedy', 'Crime']",movie,['nm0054077'],['nm0064556'],"['nm0915465', 'nm0005541', 'nm0005540']",['nm0429385'],['nm0104996'],['nm0055649'],['nm0324970'],['nm0367630'],,,
64,tt0118002,Two if by Sea (1996),Two If by Sea,1996,1996,"['Comedy', 'Romance']","['Comedy', 'Romance']","['Comedy', 'Crime', 'Romance']",movie,['nm0071611'],"['nm0035836', 'nm0501181']","['nm0001459', 'nm0226820', 'nm0001433']",['nm0000113'],,"['nm0597232', 'nm0322684']",['nm0732708'],,,,
65,tt0115683,Bio-Dome (1996),Bio-Dome,1996,1996,['Comedy'],['Comedy'],['Comedy'],movie,['nm0089176'],"['nm0545085', 'nm0498963', 'nm0669692', 'nm0089820', 'nm0462835']","['nm0001736', 'nm0000286', 'nm0040472']",['nm0236225'],,,,,,,
66,tt0116839,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace,1996,1996,"['Sci-Fi', 'Thriller']","['Action', 'Sci-Fi', 'Thriller']","['Action', 'Sci-Fi', 'Thriller']",movie,['nm0542752'],['nm0591160'],"['nm0000920', 'nm0001242', 'nm0639432']",['nm0693531'],['nm0751505'],['nm0006077'],"['nm0289092', 'nm0800692']",,,,
67,tt0114753,Two Bits (1995),Two Bits,1995,1995,['Drama'],['Drama'],['Drama'],movie,['nm0001226'],['nm0825010'],"['nm0000199', 'nm0056362', 'nm0097371']",['nm0001512'],['nm0005851'],['nm0001980'],['nm0004453'],['nm0808483'],,,
68,tt0113149,French Twist (Gazon maudit) (1995),French Twist,1995,1995,"['Comedy', 'Romance']","['Comedy', 'Romance']",['Comedy'],movie,,"['nm0041462', 'nm0095579']","['nm0149260', 'nm0390458']","['nm0000721', 'nm0001929']",['nm0061434'],['nm0540652'],['nm0344641'],['nm0374860'],,,
69,tt0113118,Friday (1995),Friday,1995,1995,['Comedy'],['Comedy'],"['Comedy', 'Drama']",movie,['nm0336620'],['nm0690770'],"['nm0001084', 'nm0000676', 'nm0001474']",['nm0000505'],['nm0006685'],,['nm0152788'],['nm0141713'],['nm0068684'],,
70,tt0116367,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996,1996,"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']","['Action', 'Comedy', 'Horror', 'Thriller']","['Action', 'Crime', 'Horror']",movie,['nm0001675'],['nm0476071'],"['nm0000172', 'nm0000123', 'nm0000233']",['nm0000496'],['nm0622897'],['nm0006251'],"['nm0638089', 'nm0855283']",,,,
71,tt0113010,Fair Game (1995),Fair Game,1995,1995,['Action'],['Action'],"['Action', 'Romance', 'Thriller']",movie,['nm0802617'],"['nm0331514', 'nm0281969']","['nm0000287', 'nm0000925', 'nm0001520']",['nm0000340'],['nm0100904'],['nm0006183'],['nm0005428'],,,,
72,tt0113537,Kicking and Screaming (1995),Kicking and Screaming,1995,1995,"['Comedy', 'Drama']","['Comedy', 'Drama']","['Comedy', 'Drama', 'Romance']",movie,['nm0000876'],['nm0075427'],"['nm0357979', 'nm0000655', 'nm0332489']",['nm0446070'],['nm0077149'],['nm0551108'],['nm0145338'],['nm0317004'],,,
73,tt0113828,"Misérables, Les (1995)",Les Misérables,1995,1995,"['Drama', 'Musical']","['Drama', 'War']","['Drama', 'History']",movie,['nm0500988'],['nm0401076'],"['nm0000901', 'nm0099378']","['nm0553402', 'nm0500992']",,"['nm0006166', 'nm0053334', 'nm0073368', 'nm0006162']",,,,,
74,tt0115644,Bed of Roses (1996),Bed of Roses,1996,1996,"['Drama', 'Romance']","['Drama', 'Romance']","['Drama', 'Romance']",movie,['nm0325533'],,"['nm0000225', 'nm0000982']","['nm0000524', 'nm0781899']",['nm0453981'],['nm0006016'],"['nm0591051', 'nm0789688']",['nm0475957'],,,
75,tt0115676,Big Bully (1996),Big Bully,1996,1996,"['Comedy', 'Drama']","['Comedy', 'Drama']","['Comedy', 'Thriller']",movie,['nm0591171'],['nm0425756'],"['nm0001548', 'nm0000792']","['nm0680541', 'nm0001406']",,['nm0628056'],"['nm0287811', 'nm0723676', 'nm0732708']",,,,
76,tt0114367,Screamers (1995),Screamers,1995,1995,"['Sci-Fi', 'Thriller']","['Action', 'Sci-Fi', 'Thriller']","['Horror', 'Sci-Fi', 'Thriller']",movie,['nm0240995'],"['nm0001140', 'nm0639321', 'nm0854185']","['nm0000693', 'nm0001163', 'nm0490774']",['nm0748075'],,,"['nm0077686', 'nm0061432']",,,,
77,tt0113973,Nico Icon (1995),Nico Icon,1995,1995,['Documentary'],['Documentary'],"['Biography', 'Documentary', 'Music']",movie,['nm0644467'],,,,"['nm0836759', 'nm0442324', 'nm0718945']",,"['nm0581578', 'nm0685364']",,,['nm0630113'],
78,tt0112744,"Crossing Guard, The (1995)",The Crossing Guard,1995,1995,['Drama'],"['Action', 'Crime', 'Drama', 'Thriller']","['Drama', 'Thriller']",movie,['nm0000576'],,"['nm0000197', 'nm0001556']","['nm0001378', 'nm0000705']",['nm0005936'],['nm0006217'],['nm0357464'],['nm0144203'],['nm0356423'],,
79,tt0116731,"Juror, The (1996)",The Juror,1996,1996,"['Drama', 'Thriller']","['Drama', 'Thriller']","['Crime', 'Drama', 'Thriller']",movie,['nm0001270'],"['nm0205923', 'nm0848217']","['nm0000285', 'nm0330687', 'nm0001254']",['nm0000193'],,['nm0006133'],"['nm0005563', 'nm0184620']",,,,
80,tt0112445,"White Balloon, The (Badkonake Sefid ) (1995)",The White Balloon,1995,1995,['Drama'],"['Children', 'Drama']","['Drama', 'Family']",movie,['nm0070159'],"['nm0452102', 'nm0787526']",['nm0435760'],"['nm0595869', 'nm0649746', 'nm0096941']",['nm0415272'],,['nm0563317'],,['nm4846516'],,
81,tt0114660,Things to Do in Denver when You're Dead (1995),Things to Do in Denver When You're Dead,1995,1995,"['Crime', 'Drama', 'Romance']","['Crime', 'Drama', 'Romance']","['Crime', 'Drama', 'Thriller']",movie,['nm0001219'],['nm0003298'],"['nm0000412', 'nm0000686', 'nm0000502', 'nm0001235']",,['nm0204567'],['nm0006016'],"['nm0570462', 'nm0940531']",,,,
82,tt0112379,Antonia's Line (Antonia) (1995),Antonia's Line,1995,1995,['Drama'],"['Comedy', 'Drama']","['Comedy', 'Drama']",movie,['nm0331296'],,['nm0213912'],"['nm0002168', 'nm0887675', 'nm0234579']",['nm0823725'],['nm0782794'],"['nm0180168', 'nm0212355', 'nm0937770']",,,,
