ml_id,imdb_id,ml_title,imdb_title,ml_year,imdb_year,ml_genres,imdb_genres,director,writer,actor,actress,cinematographer,composer,producer,editor,production_designer,archive_footage,archive_sound
26,tt0112585,"Brothers McMullen, The (1995)",The Brothers McMullen,1995,1995,['Comedy'],"['Comedy', 'Drama', 'Romance']",,,"['nm0611673', 'nm0569458', 'nm0122653']",['nm0016589'],,['nm0250738'],['nm0279460'],,,,
27,tt0112442,Bad Boys (1995),Bad Boys,1995,1995,['Action'],"['Action', 'Comedy', 'Crime']",['nm0000881'],"['nm0303032', 'nm0057398', 'nm0611848', 'nm0724514']","['nm0000226', 'nm0001454', 'nm0848075']",['nm0102288'],,,['nm0000988'],,,,
28,tt0112384,Apollo 13 (1995),Apollo 13,1995,1995,"['Action', 'Drama', 'Thriller']","['Adventure', 'Drama', 'History']",['nm0000165'],"['nm0522554', 'nm0460200', 'nm0115310', 'nm0718031']","['nm0000158', 'nm0000200', 'nm0000102', 'nm0000641']",,,,['nm0004976'],,,,
29,tt0112462,Batman Forever (1995),Batman Forever,1995,1995,"['Action', 'Adventure', 'Comedy', 'Crime']","['Action', 'Adventure']",['nm0001708'],"['nm0004170', 'nm0060761', 'nm0060760', 'nm0326040']","['nm0000174', 'nm0000169', 'nm0000120']",['nm0000173'],,,['nm0000318'],,,,
30,tt0061395,Belle de jour (1967),Belle de Jour,1967,1967,['Drama'],"['Drama', 'Romance']",['nm0000320'],"['nm0450262', 'nm0140643']","['nm0814799', 'nm0681566']","['nm0000366', 'nm0656180']",['nm0005916'],,"['nm0354623', 'nm0354624']",,,,
31,tt0112740,Crimson Tide (1995),Crimson Tide,1995,1995,"['Drama', 'Thriller', 'War']","['Action', 'Drama', 'Thriller']",['nm0001716'],"['nm0771512', 'nm0377543']","['nm0000432', 'nm0000243', 'nm0002023', 'nm0001169']",,,['nm0001877'],"['nm0000988', 'nm0800971']",,,,
32,tt0109508,Crumb (1994),Crumb,1994,1994,['Documentary'],"['Biography', 'Comedy', 'Documentary']",['nm0959062'],,,,['nm0016662'],['nm0091153'],['nm0640804'],['nm0515309'],,,
33,tt0112851,Desperado (1995),Desperado,1995,1995,"['Action', 'Romance', 'Thriller']","['Action', 'Crime', 'Thriller']",['nm0001675'],,"['nm0000104', 'nm0021835', 'nm0001507']",['nm0000161'],['nm0622897'],['nm0521233'],['nm0096115'],,['nm0600044'],,
34,tt0112887,"Doom Generation, The (1995)",The Doom Generation,1995,1995,"['Comedy', 'Drama']","['Comedy', 'Crime', 'Drama']",['nm0000777'],,"['nm0001166', 'nm0000628', 'nm0930317']",['nm0000535'],['nm0269860'],['nm0309817'],['nm0818304'],['nm0569636'],['nm0220149'],,
35,tt0113114,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,1995,1995,"['Adventure', ""Children's"", 'Drama']","['Adventure', 'Drama', 'Family']",['nm0514546'],"['nm0907929', 'nm0418321', 'nm0088097', 'nm0560469']","['nm0725284', 'nm0000514', 'nm0135584']",['nm0770788'],,,['nm0506681'],,,,
36,tt0113729,Mad Love (1995),Mad Love,1995,1995,"['Drama', 'Romance']","['Comedy', 'Drama', 'Romance']",['nm0000944'],['nm0590360'],"['nm0000563', 'nm0000498', 'nm0149708']",['nm0000106'],['nm0848712'],['nm0003983'],['nm0543911'],['nm0293435'],,,
37,tt0110620,Nadja (1994),Nadja,1994,1994,['Drama'],"['Drama', 'Horror']",['nm0021899'],,"['nm0001228', 'nm0711846', 'nm0311297']",['nm0530581'],['nm0002681'],['nm0279842'],"['nm0387646', 'nm0842156']",['nm0502601'],,,
38,tt0113957,"Net, The (1995)",The Net,1995,1995,"['Sci-Fi', 'Thriller']","['Action', 'Crime', 'Drama']",['nm0005563'],"['nm0104335', 'nm0274905']","['nm0000562', 'nm0588222']","['nm0000113', 'nm0000832']",['nm0005726'],['nm0006142'],['nm0184620'],,,,
39,tt0114558,Strange Days (1995),Strange Days,1995,1995,"['Action', 'Crime', 'Sci-Fi']","['Action', 'Crime', 'Drama']",['nm0000941'],"['nm0000116', 'nm0168379']","['nm0000146', 'nm0001744']","['nm0000291', 'nm0000496']",['nm0005772'],['nm0006251'],['nm0415498'],,,,
40,tt0114682,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo Thanks for Everything, Julie Newmar",1995,1995,['Comedy'],"['Comedy', 'Drama']",['nm0452319'],['nm0063819'],"['nm0000648', 'nm0000664', 'nm0000491']",['nm0000330'],['nm0556965'],['nm0006235'],['nm0113583'],['nm0597812'],,,
41,tt0112508,Billy Madison (1995),Billy Madison,1995,1995,['Comedy'],['Comedy'],['nm0205542'],['nm0379056'],"['nm0001191', 'nm0569000', 'nm0925966']",['nm0933098'],['nm0358510'],['nm0006055'],['nm0800465'],['nm0319673'],,,
42,tt0109445,Clerks (1994),Clerks,1994,1994,['Comedy'],['Comedy'],['nm0003620'],,"['nm0641168', 'nm0026879']","['nm0003870', 'nm0819412']",['nm0003140'],,['nm0608714'],,,,
43,tt0109635,Disclosure (1994),Disclosure,1994,1994,"['Drama', 'Thriller']","['Drama', 'Thriller']",['nm0001469'],"['nm0000341', 'nm0001921']","['nm0000140', 'nm0000661']","['nm0000193', 'nm0328751']",['nm0682503'],['nm0001553'],,['nm0511742'],,,
44,tt0109642,Dolores Claiborne (1994),Dolores Claiborne,1994,1995,"['Drama', 'Thriller']","['Crime', 'Drama', 'Mystery']",['nm0000431'],"['nm0000175', 'nm0006904']",['nm0001626'],"['nm0000870', 'nm0000492', 'nm0661407']",['nm0075244'],['nm0000384'],['nm0612529'],,,,
45,tt0111797,Eat Drink Man Woman (1994),Eat Drink Man Woman,1994,1994,"['Comedy', 'Drama']","['Comedy', 'Drama', 'Romance']",['nm0000487'],"['nm0770005', 'nm0910924']",['nm0485950'],"['nm0945992', 'nm0911096', 'nm0943072']",,['nm0534794'],"['nm0398832', 'nm0398836']",,,,
46,tt0109759,Exotica (1994),Exotica,1994,1994,['Drama'],['Drama'],['nm0000382'],,"['nm0339304', 'nm0000480', 'nm0001528']",['nm0000477'],['nm0765477'],['nm0002217'],['nm0294928'],['nm0794156'],['nm0215851'],,
47,tt0109707,Ed Wood (1994),Ed Wood,1994,1994,"['Comedy', 'Drama']","['Biography', 'Comedy', 'Drama']",['nm0000318'],"['nm0340674', 'nm0018735', 'nm0438989']","['nm0000136', 'nm0001445']","['nm0000572', 'nm0000099']",,['nm0006290'],['nm0224145'],,,,
48,tt0110057,Hoop Dreams (1994),Hoop Dreams,1994,1994,['Documentary'],"['Documentary', 'Drama', 'Sport']",['nm0416945'],['nm0555610'],,,,['nm0796711'],['nm0318201'],['nm0369368'],,,
49,tt0110099,I.Q. (1994),I.Q.,1994,1994,"['Comedy', 'Romance']","['Comedy', 'Romance']",['nm0770961'],"['nm0106563', 'nm0498775']","['nm0000209', 'nm0000527', 'nm0414279']",['nm0000212'],['nm0048524'],['nm0000025'],['nm0062071'],,,,
50,tt0076759,Star Wars (1977),Star Wars: Episode IV - A New Hope,1977,1977,"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'War']","['Action', 'Adventure', 'Fantasy']",['nm0000184'],,"['nm0000434', 'nm0000148', 'nm0000027']",['nm0000402'],['nm0852405'],['nm0002354'],"['nm0476030', 'nm0564768']",['nm0156816'],,,
51,tt0110322,Legends of the Fall (1994),Legends of the Fall,1994,1994,"['Drama', 'Romance', 'War', 'Western']","['Drama', 'Romance', 'War']",['nm0001880'],"['nm0793463', 'nm0937074', 'nm0365659']","['nm0000093', 'nm0000164', 'nm0001644']",['nm0000566'],,['nm0000035'],['nm0380980'],,,,
52,tt0110428,"Madness of King George, The (1994)",The Madness of King George,1994,1994,['Drama'],"['Biography', 'Comedy', 'Drama']",['nm0405336'],['nm0003141'],"['nm0001329', 'nm0001291']","['nm0000545', 'nm0000372']",['nm0242491'],,"['nm0263236', 'nm0661406']",['nm0031697'],,,
53,tt0110632,Natural Born Killers (1994),Natural Born Killers,1994,1994,"['Action', 'Thriller']","['Action', 'Crime', 'Drama']",['nm0000231'],"['nm0000233', 'nm0892705', 'nm0752116']","['nm0000437', 'nm0001744', 'nm0001098']",['nm0000496'],,,"['nm0006613', 'nm0359100']",,,,
54,tt0114069,Outbreak (1995),Outbreak,1995,1995,"['Action', 'Drama', 'Thriller']","['Action', 'Drama', 'Thriller']",['nm0000583'],"['nm0245435', 'nm0690798']","['nm0000163', 'nm0000151', 'nm0000228']",['nm0000623'],,['nm0006133'],"['nm0441713', 'nm0465745']",,,,
55,tt0110413,"Professional, The (1994)",Léon: The Professional,1994,1994,"['Crime', 'Drama', 'Romance', 'Thriller']","['Action', 'Crime', 'Drama']",['nm0000108'],,"['nm0000606', 'nm0000198', 'nm0000732']",['nm0000204'],['nm0005636'],['nm0785385'],,['nm0484981'],['nm0917942'],,
56,tt0110912,Pulp Fiction (1994),Pulp Fiction,1994,1994,"['Crime', 'Drama']","['Crime', 'Drama']",['nm0000233'],['nm0000812'],"['nm0000237', 'nm0000168', 'nm0000246']",['nm0000235'],['nm0782900'],,['nm0004744'],['nm0579673'],['nm0913300'],,
57,tt0110889,Priest (1994),Priest,1994,1994,['Drama'],"['Drama', 'Romance']",['nm0000944'],['nm0569568'],"['nm0730070', 'nm0929489', 'nm0001015']",['nm0879154'],['nm0848712'],['nm0003983'],"['nm0264480', 'nm0911647']",,,,
58,tt0110932,Quiz Show (1994),Quiz Show,1994,1994,['Drama'],"['Biography', 'Drama', 'History']",['nm0000602'],"['nm0001921', 'nm0329544']","['nm0000146', 'nm0001806', 'nm0001555', 'nm0006890']",,,,"['nm0637602', 'nm0414551', 'nm0469313']",,,,
59,tt0111495,Three Colors: Red (1994),Three Colors: Red,1994,1994,['Drama'],"['Drama', 'Mystery', 'Romance']",['nm0001425'],"['nm0489995', 'nm0682830', 'nm0002140', 'nm0954072', 'nm0460058']","['nm0004462', 'nm0521051']","['nm0001393', 'nm0270073']",,,,,,,
60,tt0108394,Three Colors: Blue (1993),Three Colors: Blue,1993,1993,['Drama'],"['Drama', 'Music', 'Mystery']",['nm0001425'],"['nm0682830', 'nm0002140', 'nm0954072', 'nm0005744']","['nm0952498', 'nm0753666']","['nm0000300', 'nm0000365']",,,['nm0439767'],,,,
61,tt0111507,Three Colors: White (1994),Three Colors: White,1994,1994,['Drama'],"['Comedy', 'Drama', 'Romance']",['nm0001425'],"['nm0489995', 'nm0682830', 'nm0002140', 'nm0954072', 'nm0460058']","['nm0952498', 'nm0301515', 'nm0836136']",['nm0000365'],,,,,,,
62,tt0111282,Stargate (1994),Stargate,1994,1994,"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']",['nm0000386'],['nm0002041'],"['nm0000621', 'nm0000652', 'nm0001109']",['nm0511798'],['nm0005776'],['nm0003417'],"['nm0248082', 'nm0584382']",,,,
63,tt0111070,"Santa Clause, The (1994)",The Santa Clause,1994,1994,"[""Children's"", 'Comedy']","['Comedy', 'Drama', 'Family']",['nm0664756'],"['nm1080144', 'nm0748874']","['nm0000741', 'nm0001662', 'nm0005156']",['nm0187724'],,,"['nm0798711', 'nm0628352', 'nm0717648']",,,,
64,tt0111161,"Shawshank Redemption, The (1994)",The Shawshank Redemption,1994,1994,['Drama'],['Drama'],['nm0001104'],['nm0000175'],"['nm0000209', 'nm0000151', 'nm0348409', 'nm0006669']",,['nm0005683'],['nm0002353'],['nm0555550'],['nm0290358'],,,
65,tt0108550,What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape,1993,1993,"['Comedy', 'Drama']",['Drama'],['nm0002120'],['nm0373282'],"['nm0000136', 'nm0000138']","['nm0000496', 'nm0005460']",,['nm0006141'],"['nm0558061', 'nm0645072', 'nm0855283']",,,,
66,tt0114924,While You Were Sleeping (1995),While You Were Sleeping,1995,1995,"['Comedy', 'Romance']","['Comedy', 'Drama', 'Romance']",['nm0005509'],"['nm0838015', 'nm0495863']","['nm0000597', 'nm0001251', 'nm0001967']",['nm0000113'],,['nm0006055'],"['nm0005387', 'nm0083696']",,,,
67,tt0109040,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,1994,1994,['Comedy'],['Comedy'],['nm0001723'],['nm0077062'],"['nm0000120', 'nm0005159']","['nm0001073', 'nm0000707']",['nm0531310'],['nm0627673'],['nm0732708'],['nm0956699'],,,
68,tt0109506,"Crow, The (1994)",The Crow,1994,1994,"['Action', 'Romance', 'Thriller']","['Action', 'Drama', 'Fantasy']",['nm0001639'],"['nm0639335', 'nm0775017', 'nm0794326']","['nm0000488', 'nm0000699', 'nm0001368']",['nm0205373'],,,"['nm0696299', 'nm0609184']",,,,
69,tt0109830,Forrest Gump (1994),Forrest Gump,1994,1994,"['Comedy', 'Romance', 'War']","['Drama', 'Romance']",['nm0000709'],"['nm0343165', 'nm0744839']","['nm0000158', 'nm0000641']","['nm0000705', 'nm0000398']",,,"['nm0005494', 'nm0277704', 'nm0823330']",,,,
70,tt0109831,Four Weddings and a Funeral (1994),Four Weddings and a Funeral,1994,1994,"['Comedy', 'Romance']","['Comedy', 'Drama', 'Romance']",['nm0001565'],['nm0193485'],"['nm0000424', 'nm0281424', 'nm0001003']",['nm0000510'],['nm0183533'],['nm0005961'],['nm0448953'],['nm0339856'],,,
71,tt0110357,"Lion King, The (1994)",The Lion King,1994,1994,"['Animation', ""Children's"", 'Musical']","['Adventure', 'Animation', 'Drama']","['nm0021249', 'nm0591450']","['nm0560329', 'nm0575293', 'nm0731271', 'nm0941314']","['nm0000111', 'nm0000460', 'nm0000469']",['nm0000155'],,,,,,,
72,tt0110475,"Mask, The (1994)",The Mask,1994,1994,"['Comedy', 'Crime', 'Fantasy']","['Action', 'Comedy', 'Crime']",['nm0751080'],"['nm0266430', 'nm0894156', 'nm0108273']","['nm0000120', 'nm0726200', 'nm0338886']",['nm0000139'],,['nm0006055'],['nm0257258'],,,,
73,tt0110478,Maverick (1994),Maverick,1994,1994,"['Action', 'Comedy', 'Western']","['Action', 'Adventure', 'Comedy']",['nm0001149'],"['nm0400403', 'nm0001279']","['nm0000154', 'nm0001258', 'nm0001295']",['nm0000149'],['nm0005936'],['nm0005271'],['nm0202704'],,,,
74,tt0059170,Faster Pussycat! Kill! Kill! (1965),"Faster, Pussycat! Kill! Kill!",1965,1965,"['Action', 'Comedy', 'Drama']","['Action', 'Comedy']",['nm0000540'],['nm0602803'],['nm0055274'],"['nm0766100', 'nm0354486', 'nm0931186']",['nm0770908'],,['nm0583102'],,,,
75,tt0109339,Brother Minister: The Assassination of Malcolm X (1994),Brother Minister: The Assassination of Malcolm X,1994,1994,['Documentary'],['Documentary'],"['nm0007366', 'nm0062743']",['nm0149331'],['nm0001975'],,,"['nm2468350', 'nm0369784']",['nm0450423'],,,,
76,tt0106519,Carlito's Way (1993),Carlito's Way,1993,1993,"['Crime', 'Drama']","['Crime', 'Drama', 'Thriller']",['nm0000361'],"['nm0868620', 'nm0462895']","['nm0000199', 'nm0000576', 'nm0000491']",['nm0000542'],,,"['nm0126653', 'nm0106840', 'nm0106841']",,,,
77,tt0106918,"Firm, The (1993)",The Firm,1993,1993,"['Drama', 'Thriller']","['Drama', 'Mystery', 'Thriller']",['nm0001628'],"['nm0001300', 'nm0704792', 'nm0001801', 'nm0713128']","['nm0000129', 'nm0000432', 'nm0001358']",['nm0000675'],,,['nm0204862'],,,,
78,tt0106965,Free Willy (1993),Free Willy,1993,1993,"['Adventure', ""Children's"", 'Drama']","['Adventure', 'Drama', 'Family']",['nm0934578'],"['nm0907929', 'nm0088097']","['nm0725284', 'nm0000514']","['nm0001614', 'nm0040739']",,['nm0006231'],"['nm0506681', 'nm0795682']",,,,
79,tt0106977,"Fugitive, The (1993)",The Fugitive,1993,1993,"['Action', 'Thriller']","['Action', 'Crime', 'Drama']",['nm0001112'],"['nm0835732', 'nm0878638', 'nm0400403']","['nm0000148', 'nm0000169']","['nm0000688', 'nm0000194']",,['nm0006133'],['nm0465745'],,,,
80,tt0107144,Hot Shots! Part Deux (1993),Hot Shots! Part Deux,1993,1993,"['Action', 'Comedy', 'War']","['Action', 'Comedy']",['nm0000720'],['nm0698493'],"['nm0000221', 'nm0000978', 'nm0001077']",['nm0000420'],['nm0502954'],['nm0006231'],['nm0045927'],['nm0132695'],,,
81,tt0110074,"Hudsucker Proxy, The (1994)",The Hudsucker Proxy,1994,1994,"['Comedy', 'Romance']","['Comedy', 'Drama', 'Fantasy']","['nm0001054', 'nm0001053']",['nm0000600'],"['nm0000209', 'nm0000056', 'nm0001164']",['nm0000492'],['nm0005683'],['nm0001980'],,['nm0633677'],,,
82,tt0107290,Jurassic Park (1993),Jurassic Park,1993,1993,"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']",['nm0000229'],"['nm0000341', 'nm0462895']","['nm0000554', 'nm0000156', 'nm0000277']",['nm0000368'],,['nm0002354'],"['nm0005086', 'nm0596520']",,,,
83,tt0107616,Much Ado About Nothing (1993),Much Ado About Nothing,1993,1993,"['Comedy', 'Romance']","['Comedy', 'Drama', 'Romance']",,['nm0000636'],"['nm0000110', 'nm0000206']","['nm0000668', 'nm0000295']",['nm0487082'],['nm0236462'],"['nm0263236', 'nm0661406']",['nm0546064'],,,
84,tt0111003,Robert A. Heinlein's The Puppet Masters (1994),The Puppet Masters,1994,1994,"['Horror', 'Sci-Fi']","['Horror', 'Sci-Fi', 'Thriller']",['nm0650233'],"['nm0374423', 'nm0254645', 'nm0744429', 'nm0275286']","['nm0000661', 'nm0856908', 'nm0202966']",['nm0000689'],,,['nm0003515'],,,,
85,tt0110955,"Ref, The (1994)",The Ref,1994,1994,['Comedy'],"['Comedy', 'Crime', 'Drama']",['nm0001130'],"['nm0919087', 'nm0481418']","['nm0001459', 'nm0000228', 'nm0826198']",['nm0001114'],,['nm0347465'],"['nm0102508', 'nm1923205']",,,,
86,tt0107943,"Remains of the Day, The (1993)",The Remains of the Day,1993,1993,['Drama'],"['Drama', 'Romance']",['nm0412465'],"['nm0410958', 'nm0695609']","['nm0000164', 'nm0370700', 'nm0001659']",['nm0000668'],,,"['nm0001566', 'nm0130492', 'nm0580337']",,,,
87,tt0108065,Searching for Bobby Fischer (1993),Searching for Bobby Fischer,1993,1993,['Drama'],"['Biography', 'Drama', 'Sport']",['nm0001873'],['nm0906659'],"['nm0001505', 'nm0001426', 'nm0690051']",['nm0000260'],['nm0005734'],['nm0000035'],"['nm0394564', 'nm0748784']",,,,
88,tt0108160,Sleepless in Seattle (1993),Sleepless in Seattle,1993,1993,"['Comedy', 'Romance']","['Comedy', 'Drama', 'Romance']",['nm0001188'],"['nm0033578', 'nm0911486']","['nm0000158', 'nm0539678']","['nm0000212', 'nm0001854']",['nm0005815'],['nm0003299'],['nm0287811'],,,,
89,tt0083658,Blade Runner (1982),Blade Runner,1982,1982,"['Film-Noir', 'Sci-Fi']","['Action', 'Sci-Fi', 'Thriller']",['nm0000631'],"['nm0266684', 'nm0672459', 'nm0001140']","['nm0000148', 'nm0000442', 'nm0001579']",['nm0000707'],,['nm0006331'],['nm0214303'],,,,
90,tt0108174,So I Married an Axe Murderer (1993),So I Married an Axe Murderer,1993,1993,"['Comedy', 'Romance', 'Thriller']","['Comedy', 'Romance']",['nm0772095'],['nm0289219'],"['nm0000196', 'nm0001439']","['nm0001802', 'nm0001625']",['nm0531310'],['nm0005976'],"['nm0294975', 'nm0940531']",,,,
91,tt0107688,"Nightmare Before Christmas, The (1993)",The Nightmare Before Christmas,1993,1993,"[""Children's"", 'Comedy', 'Musical']","['Animation', 'Family', 'Fantasy']",['nm0783139'],"['nm0000318', 'nm0568313', 'nm0003031']","['nm0000384', 'nm0001697', 'nm0382676']",['nm0001573'],,,"['nm0353893', 'nm0224145']",,,,
92,tt0108399,True Romance (1993),True Romance,1993,1993,"['Action', 'Crime', 'Romance']","['Crime', 'Drama', 'Romance']",['nm0001716'],"['nm0000233', 'nm0000812']","['nm0000225', 'nm0000454', 'nm0000174']",['nm0000099'],,,"['nm0675305', 'nm0053388', 'nm0352820']",,,,
